tweet,sentiment_label
b'RT @Satar_Gaza: This is Linda Sarsour. A Palestinian who was the key organizer of the Womens March protesting the inauguration of Donald Tr\xe2\x80\xa6',Negative
b'RT @Freedom_Daily: Jenna Jameson Just HUMILIATED Trump-Hating Host By Exposing What HE Did At Playboy Mansion!: What\xe2\x80\xa6 https://t.co/oLJvFre3\xe2\x80\xa6',Negative
b'RT @zjmthrones: TADINHA DA MULHER DO TRUMP https://t.co/ZXiap58ciZ',Negative
b'RT @telenewsmex: Miles de mujeres en el mundo marchan contra @realDonaldTrump \xf0\x9f\x92\x81\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbc https://t.co/6JDjodZhZh https://t.co/3M86soA807',Negative
b'The telecom industry is already celebrating Trump\xe2\x80\x99s business-friendly FCC pick https://t.co/n0a9D9uiyO',Negative
b'RT @SenSanders: If Trump is seriously opposed to outsourcing, he can lead by shutting down his own sweatshops and paying workers in the US\xe2\x80\xa6',Positive
b'RT @RepMarcyKaptur: Does this look like America? All men, making a unilateral decision about  women\xe2\x80\x99s health. https://t.co/JNP1b7Ie93 https\xe2\x80\xa6',Negative
b'RT @FCC: Read the statement from @AjitPaiFCC, who was named @FCC chairman by @POTUS today https://t.co/T5UWYgPcYe',Negative
b"RT @TrumpsNewsDaily: BOOM! Trump's Secret Service Launches Investigation Into Madonna After Controversial Comments https://t.co/YC8U6CAtWV",Positive
b'RT @MFinizza: @CharlesMBlow Trump asks Russia 2hack us, they do! Don(jr),Flynn,Manafort n Tillerson all have ties 2Russia! Trump hides debt\xe2\x80\xa6',Negative
b'RT @matthewjdowd: Initial net Gallup job approval: \n\nTrump 0\nObama +56\nW.  +32\nClinton +38\nH.W. +45\nReagan +38\nCarter +58\nNixon +54\nKennedy\xe2\x80\xa6',Negative
b'Bravo trump. https://t.co/YTn2J9lTaH',Negative
b"RT @JessicaValenti: If you're wondering what patriarchy looks like: A group of white men watch as Trump reinstates the #GlobalGagRule https\xe2\x80\xa6",Negative
b'RT @kathleennewsie: CBS Confirms Trump Brought His Own Studio Audience To Clap For Him At CIA Speech via @politicususa https://t.co/JkDzkhs\xe2\x80\xa6',Positive
b"RT @Sanchovies: Trump neck keep playing and it's gone catch this dick \xf0\x9f\x91\x80 https://t.co/yNMWngdS3y",Negative
b"Trump's tea party budget chief on collision course with GOP hawks https://t.co/4mZd5kn5DE",Negative
